stock_code,num_sheets,sheet_names,is_same_sheets,corp_code,corp_name,modify_date,sector,product,corp_cls,market_type
003580,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,169048,HLB글로벌,20240529,종합 소매업,"모래 및 자갈 채취업,콤부차,그린월,화장품,신약개발 등",Y,KOSPI
048830,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,108490,엔피케이,20240328,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱물질 제조업,K,KOSDAQ
085310,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,172228,엔케이,20230327,"구조용 금속제품, 탱크 및 증기발생기 제조업","고압가스용기,선박용,육상용 소화설비장치,천연가스이동식충전소 제조,도매",Y,KOSPI
137950,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,664853,제이씨케미칼,20240325,기타 화학제품 제조업,"바이오디젤, 바이오중유 등",K,KOSDAQ
285490,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1259232,노바텍,20230223,그외 기타 제품 제조업,"Magnet, Shield Magnet, 심재",K,KOSDAQ
357880,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1381984,비트나인,20230223,소프트웨어 개발 및 공급업,"그래프데이터베이스, 그래프분석서비스",K,KOSDAQ
038880,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,252269,아이에이,20221212,전자부품 제조업,"반도체 및 모듈, 제어기",K,KOSDAQ
233990,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1063556,질경이,20221129,기타 화학제품 제조업,여성청결제 및 질염치료제 개발,N,KONEX
043150,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,264255,바텍,20240402,의료용 기기 제조업,"치과용 디지털 X-ray기기 (파노라마, CT) 및 구강스캐너 등",K,KOSDAQ
090080,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,573579,평화산업,20230330,자동차 신품 부품 제조업,"자동차부품(방진고무,방류고무(COVER류,CUP류),호스류),장비시설용 부품 제조,판매",Y,KOSPI
